3.5nm,4.4nm,5.6nm
9.340050124989975,6.672236473972026,9.340050124989975
10.80919527730274,7.930803176449072,10.80919527730274
10.483595024866167,9.418299962363037,10.483595024866167
9.942890952894606,9.899854921886535,9.942890952894606
10.35128562368639,10.854550746792253,10.35128562368639
8.872588828031708,9.176404500009712,8.872588828031708
9.961096516939076,10.022623269226871,9.961096516939076
9.25201926062765,9.81559441785782,9.25201926062765
9.908959595692638,,
14.357969411685154,,
9.577134752105664,,
6.773858367032477,,
9.151639645422929,,
8.321309789154753,,
10.204513625904369,,
10.036040521197675,,
